date,listed_price,price_trend,day_of_week,month,week_of_year,ma_7,ma_14,volatility_7,momentum_7,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,log_price,rolling_mean_3
2024-10-15,77990,0,1,10,42,78561.42857,79207.57143,975.9000729,-7000,77990,77990,77990,84990,77990,11.26434871,77990.0
2024-10-16,77990,0,2,10,42,78275.71429,79207.57143,755.928946,-2000,77990,77990,77990,79990,77990,11.26434871,77990.0
2024-10-17,77990,0,3,10,42,77990.0,79064.07143,0.0,-2000,77990,77990,77990,79990,79999,11.26434871,77990.0
2024-10-18,80000,1,4,10,42,78277.14286,79064.14286,759.7085907,2010,77990,77990,77990,77990,79999,11.28979441,78660.0
2024-10-19,84990,1,5,10,42,79277.14286,79420.64286,2628.147093,7000,80000,77990,77990,77990,79999,11.35030065,80993.33333333333
2024-10-20,84990,0,6,10,42,80277.14286,80062.85714,3302.093852,7000,84990,80000,77990,77990,75999,11.35030065,83326.66666666667
2024-10-21,79000,-1,0,10,43,80421.42857,79991.42857,3206.173361,1010,84990,84990,80000,77990,80000,11.27721579,82993.33333333333
2024-10-22,75990,-1,1,10,43,80135.71429,79348.57143,3531.561775,-2000,79000,84990,84990,77990,84990,11.23837019,79993.33333333333
2024-10-23,77000,1,2,10,43,79994.28571,79135.0,3649.661432,-990,75990,79000,84990,77990,79990,11.25157369,77330.0
2024-10-24,76990,-1,3,10,43,79851.42857,78920.71429,3759.119704,-1000,77000,75990,79000,77990,79990,11.25144381,76660.0
2024-10-25,76990,0,4,10,43,79421.42857,78849.28571,3908.479792,-3010,76990,77000,75990,80000,77990,11.25144381,76993.33333333333
2024-10-26,76990,0,5,10,43,78278.57143,78777.85714,3093.468542,-8000,76990,76990,77000,84990,77990,11.25144381,76990.0
2024-10-27,76990,0,6,10,43,77135.71429,78706.42857,902.9185482,-8000,76990,76990,76990,84990,77990,11.25144381,76990.0
2024-10-28,76990,0,0,10,44,76848.57143,78635.0,378.6127561,-2010,76990,76990,76990,79000,77990,11.25144381,76990.0
2024-10-29,76990,0,1,10,44,76991.42857,78563.57143,3.779644712,1000,76990,76990,76990,75990,77990,11.25144381,76990.0
2024-10-30,76990,0,2,10,44,76990.0,78492.14286,0.0,-10,76990,76990,76990,77000,77990,11.25144381,76990.0
2024-10-31,76990,0,3,10,44,76990.0,78420.71429,0.0,0,76990,76990,76990,76990,77990,11.25144381,76990.0
2024-11-01,84990,1,4,11,44,78132.85714,78777.14286,3023.715784,8000,76990,76990,76990,76990,80000,11.35030065,79656.66666666667
2024-11-02,84990,0,5,11,44,79275.71429,78777.14286,3903.600292,8000,84990,76990,76990,76990,84990,11.35030065,82323.33333333333
2024-11-03,84990,0,6,11,44,80418.57143,78777.14286,4276.179871,8000,84990,84990,76990,76990,84990,11.35030065,84990.0
2024-11-04,84990,0,0,11,45,81561.42857,79205.0,4276.179871,8000,84990,84990,84990,76990,79000,11.35030065,84990.0
2024-11-05,90000,1,1,11,45,83420.0,80205.71429,4758.25248,13010,84990,84990,84990,76990,75990,11.40757606,86660.0
2024-11-06,93990,1,2,11,45,85848.57143,81419.28571,5243.092054,17000,90000,84990,84990,76990,77000,11.45095431,89660.0
2024-11-07,93990,0,3,11,45,88277.14286,82633.57143,4310.122637,17000,93990,90000,84990,76990,76990,11.45095431,92660.0
2024-11-08,90000,-1,4,11,45,88992.85714,83562.85714,4083.302235,5010,93990,93990,90000,84990,76990,11.40757606,92660.0
2024-11-09,87990,-1,5,11,45,89421.42857,84348.57143,3735.801693,3000,90000,93990,93990,84990,76990,11.38498982,90660.0
2024-11-10,84990,-1,6,11,45,89421.42857,84920.0,3735.801693,0,87990,90000,93990,84990,76990,11.35030065,87660.0
2024-11-11,84990,0,0,11,46,89421.42857,85491.42857,3735.801693,0,84990,87990,90000,84990,76990,11.35030065,85990.0
2024-11-12,84990,0,1,11,46,88705.71429,86062.85714,4071.330074,-5010,84990,84990,87990,90000,76990,11.35030065,84990.0
2024-11-13,80990,-1,2,11,46,86848.57143,86348.57143,4221.375876,-13000,84990,84990,84990,93990,76990,11.30209332,83656.66666666667
2024-11-14,80990,0,3,11,46,84991.42857,86634.28571,3319.138586,-13000,80990,84990,84990,93990,76990,11.30209332,82323.33333333333
2024-11-15,80990,0,4,11,46,83704.28571,86348.57143,2751.622898,-9010,80990,80990,84990,90000,84990,11.30209332,80990.0
2024-11-16,80990,0,5,11,46,82704.28571,86062.85714,2138.089935,-7000,80990,80990,80990,87990,84990,11.30209332,80990.0
2024-11-17,78990,-1,6,11,46,81847.14286,85634.28571,2267.786838,-6000,80990,80990,80990,84990,84990,11.2770892,80323.33333333333
2024-11-18,78990,0,0,11,47,80990.0,85205.71429,2000.0,-6000,78990,80990,80990,84990,84990,11.2770892,79656.66666666667
2024-11-19,78990,0,1,11,47,80132.85714,84419.28571,1069.044968,-6000,78990,78990,80990,84990,90000,11.2770892,78990.0
2024-11-20,78990,0,2,11,47,79847.14286,83347.85714,1069.044968,-2000,78990,78990,78990,80990,93990,11.2770892,78990.0
2024-11-21,78990,0,3,11,47,79561.42857,82276.42857,975.9000729,-2000,78990,78990,78990,80990,93990,11.2770892,78990.0
2024-11-22,78990,0,4,11,47,79275.71429,81490.0,755.928946,-2000,78990,78990,78990,80990,90000,11.2770892,78990.0
2024-11-23,78990,0,5,11,47,78990.0,80847.14286,0.0,-2000,78990,78990,78990,80990,87990,11.2770892,78990.0
2024-11-24,72990,-1,6,11,47,78132.85714,79990.0,2267.786838,-6000,78990,78990,78990,78990,84990,11.19809142,76990.0
2024-11-25,72990,0,0,11,48,77275.71429,79132.85714,2927.700219,-6000,72990,78990,78990,78990,84990,11.19809142,74990.0
2024-11-26,73990,1,1,11,48,76561.42857,78347.14286,3047.247001,-5000,72990,72990,78990,78990,84990,11.21169874,73323.33333333333
2024-11-27,73990,0,2,11,48,75847.14286,77847.14286,2968.084199,-5000,73990,72990,72990,78990,80990,11.21169874,73656.66666666667
2024-11-28,73990,0,3,11,48,75132.85714,77347.14286,2672.612419,-5000,73990,73990,72990,78990,80990,11.21169874,73990.0
2024-11-29,73990,0,4,11,48,74418.57143,76847.14286,2070.196678,-5000,73990,73990,73990,78990,80990,11.21169874,73990.0
2024-11-30,73990,0,5,11,48,73704.28571,76347.14286,487.9500365,-5000,73990,73990,73990,78990,80990,11.21169874,73990.0
2024-12-01,73990,0,6,12,48,73847.14286,75990.0,377.964473,1000,73990,73990,73990,72990,78990,11.21169874,73990.0
2024-12-02,71990,-1,0,12,49,73704.28571,75490.0,755.928946,-1000,73990,73990,73990,72990,78990,11.18429639,73323.33333333333
2024-12-03,71990,0,1,12,49,73418.57143,74990.0,975.9000729,-2000,71990,73990,73990,73990,78990,11.18429639,72656.66666666667
2024-12-04,73990,1,2,12,49,73418.57143,74632.85714,975.9000729,0,71990,71990,73990,73990,78990,11.21169874,72656.66666666667
2024-12-05,73990,0,3,12,49,73418.57143,74275.71429,975.9000729,0,73990,71990,71990,73990,78990,11.21169874,73323.33333333333
2024-12-06,73990,0,4,12,49,73418.57143,73918.57143,975.9000729,0,73990,73990,71990,73990,78990,11.21169874,73990.0
2024-12-07,73990,0,5,12,49,73418.57143,73561.42857,975.9000729,0,73990,73990,73990,73990,78990,11.21169874,73990.0
2024-12-08,73990,0,6,12,49,73418.57143,73632.85714,975.9000729,0,73990,73990,73990,73990,72990,11.21169874,73990.0
2024-12-09,73990,0,0,12,50,73704.28571,73704.28571,755.928946,2000,73990,73990,73990,71990,72990,11.21169874,73990.0
2024-12-10,73990,0,1,12,50,73990.0,73704.28571,0.0,2000,73990,73990,73990,71990,73990,11.21169874,73990.0
2024-12-11,73990,0,2,12,50,73990.0,73704.28571,0.0,0,73990,73990,73990,73990,73990,11.21169874,73990.0
2024-12-12,73990,0,3,12,50,73990.0,73704.28571,0.0,0,73990,73990,73990,73990,73990,11.21169874,73990.0
2024-12-13,75990,1,4,12,50,74275.71429,73847.14286,755.928946,2000,73990,73990,73990,73990,73990,11.23837019,74656.66666666667
2024-12-14,75990,0,5,12,50,74561.42857,73990.0,975.9000729,2000,75990,73990,73990,73990,73990,11.23837019,75323.33333333333
2024-12-15,73990,-1,6,12,50,74561.42857,73990.0,975.9000729,0,75990,75990,73990,73990,73990,11.21169874,75323.33333333333
2024-12-16,73990,0,0,12,51,74561.42857,74132.85714,975.9000729,0,73990,75990,75990,73990,71990,11.21169874,74656.66666666667
2024-12-17,81490,1,1,12,51,75632.85714,74811.42857,2749.458821,7500,73990,73990,75990,73990,71990,11.30824786,76490.0
2024-12-18,81490,0,2,12,51,76704.28571,75347.14286,3389.409276,7500,81490,73990,73990,73990,73990,11.30824786,78990.0
2024-12-19,81490,0,3,12,51,77775.71429,75882.85714,3569.046825,7500,81490,81490,73990,73990,73990,11.30824786,81490.0
2024-12-20,73990,-1,4,12,51,77490.0,75882.85714,3807.886553,-2000,81490,81490,81490,75990,73990,11.21169874,78990.0
2024-12-21,73990,0,5,12,51,77204.28571,75882.85714,4008.918629,-2000,73990,81490,81490,75990,73990,11.21169874,76490.0
2024-12-22,73990,0,6,12,51,77204.28571,75882.85714,4008.918629,0,73990,73990,81490,73990,73990,11.21169874,73990.0
2024-12-23,71990,-1,0,12,52,76918.57143,75740.0,4334.248988,-2000,73990,73990,73990,73990,73990,11.18429639,73323.33333333333
2024-12-24,71990,0,1,12,52,75561.42857,75597.14286,4147.57531,-9500,71990,73990,73990,81490,73990,11.18429639,72656.66666666667
2024-12-25,70990,-1,2,12,52,74061.42857,75382.85714,3493.190655,-10500,71990,71990,73990,81490,73990,11.17030839,71656.66666666667
2024-12-26,74990,1,3,12,52,73132.85714,75454.28571,1463.850109,-6500,70990,71990,71990,81490,73990,11.22512339,72656.66666666667
2024-12-27,74990,0,4,12,52,73275.71429,75382.85714,1603.567451,1000,74990,70990,71990,73990,75990,11.22512339,73656.66666666667
2024-12-28,72990,-1,5,12,52,73132.85714,75168.57143,1573.591585,-1000,74990,74990,70990,73990,75990,11.19809142,74323.33333333333
2024-12-29,72990,0,6,12,52,72990.0,75097.14286,1527.525232,-1000,72990,74990,74990,73990,73990,11.19809142,73656.66666666667
2024-12-30,72990,0,0,12,1,73132.85714,75025.71429,1463.850109,1000,72990,72990,74990,71990,73990,11.19809142,72990.0
2024-12-31,72990,0,1,12,1,73275.71429,74418.57143,1380.131119,1000,72990,72990,72990,71990,81490,11.19809142,72990.0
2025-01-01,72990,0,2,1,1,73561.42857,73811.42857,975.9000729,2000,72990,72990,72990,70990,81490,11.19809142,72990.0
2025-01-02,72990,0,3,1,1,73275.71429,73204.28571,755.928946,-2000,72990,72990,72990,74990,81490,11.19809142,72990.0
2025-01-03,81490,1,4,1,1,74204.28571,73740.0,3212.698021,6500,72990,72990,72990,74990,73990,11.30824786,75823.33333333333
2025-01-04,81490,0,5,1,1,75418.57143,74275.71429,4147.57531,8500,81490,72990,72990,72990,73990,11.30824786,78656.66666666667
2025-01-05,81490,0,6,1,1,76632.85714,74811.42857,4543.441113,8500,81490,81490,72990,72990,73990,11.30824786,81490.0
2025-01-06,81490,0,0,1,2,77847.14286,75490.0,4543.441113,8500,81490,81490,81490,72990,71990,11.30824786,81490.0
2025-01-07,81490,0,1,1,2,79061.42857,76168.57143,4147.57531,8500,81490,81490,81490,72990,71990,11.30824786,81490.0
2025-01-08,75990,-1,2,1,2,79490.0,76525.71429,3523.729085,3000,81490,81490,81490,72990,70990,11.23837019,79656.66666666667
2025-01-09,75990,0,3,1,2,79918.57143,76597.14286,2683.725201,3000,75990,81490,81490,72990,74990,11.23837019,77823.33333333333
