date,listed_price,price_trend,day_of_week,month,week_of_year,ma_7,ma_14,volatility_7,momentum_7,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,log_price,rolling_mean_3
2024-06-01,136990,0,5,6,22,136990.0,137191.4286,0.0,0,136990,136990,136990,136990,136990,11.82767051,136990.0
2024-06-02,136990,0,6,6,22,136990.0,137191.4286,0.0,0,136990,136990,136990,136990,136990,11.82767051,136990.0
2024-06-03,136990,0,0,6,23,136990.0,137197.8571,0.0,0,136990,136990,136990,136990,136900,11.82767051,136990.0
2024-06-04,136990,0,1,6,23,136990.0,137197.8571,0.0,0,136990,136990,136990,136990,136990,11.82767051,136990.0
2024-06-05,136990,0,2,6,23,136990.0,137197.8571,0.0,0,136990,136990,136990,136990,136990,11.82767051,136990.0
2024-06-06,136990,0,3,6,23,136990.0,137126.4286,0.0,0,136990,136990,136990,136990,137990,11.82767051,136990.0
2024-06-07,136990,0,4,6,23,136990.0,136990.0,0.0,0,136990,136990,136990,136990,138900,11.82767051,136990.0
2024-06-08,136990,0,5,6,23,136990.0,136990.0,0.0,0,136990,136990,136990,136990,136990,11.82767051,136990.0
2024-06-09,136990,0,6,6,23,136990.0,136990.0,0.0,0,136990,136990,136990,136990,136990,11.82767051,136990.0
2024-06-10,136990,0,0,6,24,136990.0,136990.0,0.0,0,136990,136990,136990,136990,136990,11.82767051,136990.0
2024-06-11,136990,0,1,6,24,136990.0,136990.0,0.0,0,136990,136990,136990,136990,136990,11.82767051,136990.0
2024-06-12,135990,-1,2,6,24,136847.1429,136918.5714,377.964473,-1000,136990,136990,136990,136990,136990,11.82034399,136656.66666666666
2024-06-13,135990,0,3,6,24,136704.2857,136847.1429,487.9500365,-1000,135990,136990,136990,136990,136990,11.82034399,136323.33333333334
2024-06-14,135990,0,4,6,24,136561.4286,136775.7143,534.5224838,-1000,135990,135990,136990,136990,136990,11.82034399,135990.0
2024-06-15,135990,0,5,6,24,136418.5714,136704.2857,534.5224838,-1000,135990,135990,135990,136990,136990,11.82034399,135990.0
2024-06-16,135990,0,6,6,24,136275.7143,136632.8571,487.9500365,-1000,135990,135990,135990,136990,136990,11.82034399,135990.0
2024-06-17,135990,0,0,6,25,136132.8571,136561.4286,377.964473,-1000,135990,135990,135990,136990,136990,11.82034399,135990.0
2024-06-18,135990,0,1,6,25,135990.0,136490.0,0.0,-1000,135990,135990,135990,136990,136990,11.82034399,135990.0
2024-06-19,135990,0,2,6,25,135990.0,136418.5714,0.0,0,135990,135990,135990,135990,136990,11.82034399,135990.0
2024-06-20,136990,1,3,6,25,136132.8571,136418.5714,377.964473,1000,135990,135990,135990,135990,136990,11.82767051,136323.33333333334
2024-06-21,136990,0,4,6,25,136275.7143,136418.5714,487.9500365,1000,136990,135990,135990,135990,136990,11.82767051,136656.66666666666
