,listed_price,price_trend,day_of_week,month,week_of_year,ma_7,ma_14,volatility_7,momentum_7,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,log_price,rolling_mean_3
listed_price,1.0,-0.013173105841233292,-0.009376726846735304,-0.07720322860229277,-0.06657182691580676,0.9351646686243101,0.9125038642500611,0.045914965739344706,0.33156343649352693,0.9043009174074821,0.8747607897377376,0.8548767091093095,0.8251025020917456,0.7552246266470675,0.9985592693884002,0.9610203374920534
price_trend,-0.013173105841233292,1.0,0.03901898685194267,0.04745186846065622,0.03634733752226679,-0.16120885743269098,-0.18838632696846486,0.09266535853142217,0.29304343693423124,-0.23083041647200253,-0.15028360028040108,-0.14934767403818366,-0.1889764361906413,-0.22234597648710858,-0.013604640984611888,-0.13614069863690884
day_of_week,-0.009376726846735304,0.03901898685194267,1.0,-0.00858436719009461,-0.0028774808924519556,-0.0009528901456771817,-0.0009126259424939194,0.0028988957601981044,-0.00025760858979208647,-0.0018077083432419148,-0.012598962601360704,0.005251647022172867,-0.009444329365121592,-0.010099576216982101,-0.00924020123224778,-0.008219059293194532
month,-0.07720322860229277,0.04745186846065622,-0.00858436719009461,1.0,0.9638725969576082,-0.08082877932834717,-0.07612453410994142,0.3894968735971906,-0.023514193704215616,-0.07819768836235735,-0.07807692088619868,-0.07835505111329258,-0.06494834365657431,-0.07054109081976277,-0.05496155356679597,-0.08072336310629315
week_of_year,-0.06657182691580676,0.03634733752226679,-0.0028774808924519556,0.9638725969576082,1.0,-0.06592736753932472,-0.06717118578921899,0.3885997021548327,-0.02991111991020176,-0.06747761336473584,-0.06527791221029237,-0.06391633986003738,-0.05023452474148605,-0.055646539219631266,-0.04497516046641695,-0.06891871549208965
ma_7,0.9351646686243101,-0.16120885743269098,-0.0009528901456771817,-0.08082877932834717,-0.06592736753932472,1.0,0.9836195528415267,0.040690026020271094,0.08649813352665879,0.9445847020046059,0.9491640618129651,0.9480128424862423,0.9054925270998478,0.8418247851177023,0.9354485036622887,0.9780730692330666
ma_14,0.9125038642500611,-0.18838632696846486,-0.0009126259424939194,-0.07612453410994142,-0.06717118578921899,0.9836195528415267,1.0,0.008877724364421125,-0.000330780453182418,0.9223232604053815,0.9269730983666079,0.9295974376937758,0.9342937738138929,0.8863161710611559,0.9129155447001644,0.9548681837436294
volatility_7,0.045914965739344706,0.09266535853142217,0.0028988957601981044,0.3894968735971906,0.3885997021548327,0.040690026020271094,0.008877724364421125,1.0,0.08306402588661432,0.05005451587426975,0.04563454085729616,0.03655930605789597,-0.0027422053254256016,-0.04627710734246166,0.047004900880292966,0.04895958911354966
momentum_7,0.33156343649352693,0.29304343693423124,-0.00025760858979208647,-0.023514193704215616,-0.02991111991020176,0.08649813352665879,-0.000330780453182418,0.08306402588661432,1.0,0.1497864595368864,0.09521348167093452,0.03107215716862733,-0.2594498033653847,-0.07491678832807686,0.3284134220057423,0.19965710537180262
price_lag_1,0.9043009174074821,-0.23083041647200253,-0.0018077083432419148,-0.07819768836235735,-0.06747761336473584,0.9445847020046059,0.9223232604053815,0.05005451587426975,0.1497864595368864,1.0,0.903574595778658,0.8738044785229728,0.83599770489159,0.7626167689778118,0.905028743882614,0.9708163201511114
price_lag_2,0.8747607897377376,-0.15028360028040108,-0.012598962601360704,-0.07807692088619868,-0.06527791221029237,0.9491640618129651,0.9269730983666079,0.04563454085729616,0.09521348167093452,0.903574595778658,1.0,0.902855929153,0.8384400990565164,0.8008691120495823,0.8756247531889124,0.9604408192933178
price_lag_3,0.8548767091093095,-0.14934767403818366,0.005251647022172867,-0.07835505111329258,-0.06391633986003738,0.9480128424862423,0.9295974376937758,0.03655930605789597,0.03107215716862733,0.8738044785229728,0.902855929153,1.0,0.8564971113591826,0.8071496319397102,0.8559010643388537,0.909786206937242
price_lag_7,0.8251025020917456,-0.1889764361906413,-0.009444329365121592,-0.06494834365657431,-0.05023452474148605,0.9054925270998478,0.9342937738138929,-0.0027422053254256016,-0.2594498033653847,0.83599770489159,0.8384400990565164,0.8564971113591826,1.0,0.8179594520178476,0.8255140944081425,0.8641937567753835
price_lag_14,0.7552246266470675,-0.22234597648710858,-0.010099576216982101,-0.07054109081976277,-0.055646539219631266,0.8418247851177023,0.8863161710611559,-0.04627710734246166,-0.07491678832807686,0.7626167689778118,0.8008691120495823,0.8071496319397102,0.8179594520178476,1.0,0.7563462396684731,0.8016303057141118
log_price,0.9985592693884002,-0.013604640984611888,-0.00924020123224778,-0.05496155356679597,-0.04497516046641695,0.9354485036622887,0.9129155447001644,0.047004900880292966,0.3284134220057423,0.905028743882614,0.8756247531889124,0.8559010643388537,0.8255140944081425,0.7563462396684731,1.0,0.9610695199374572
rolling_mean_3,0.9610203374920534,-0.13614069863690884,-0.008219059293194532,-0.08072336310629315,-0.06891871549208965,0.9780730692330666,0.9548681837436294,0.04895958911354966,0.19965710537180262,0.9708163201511114,0.9604408192933178,0.909786206937242,0.8641937567753835,0.8016303057141118,0.9610695199374572,1.0
